code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result
2022,1317.79,127.464,142.441,223.87800000000001,75.61399999999999,117.135,10.4,114.29299999999999,158.49900000000002,127.235,9.912999999999998,102.59100000000001,142.367,79.495,31.216,78.219,92.93799999999999,10.4,309.031,122.02900000000001,139.99200000000002,107.09599999999999,87.785,107.452,39.18300000000001,10.4,105.803,51.01200000000001,59.979,287.508,Pass
2023,138.83,66.79299999999999,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,145.942,Dropout
2024,159.188,69.61,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2025,1085.49,154.70600000000002,213.93000000000004,178.38100000000003,103.813,163.923,10.4,144.738,248.62900000000002,214.26399999999998,105.53500000000001,188.649,149.762,126.892,94.03099999999999,101.437,65.67699999999999,10.4,68.761,75.729,76.221,55.56700000000001,57.542,78.6,32.792,10.4,54.181,10.4,56.36000000000001,215.73699999999997,Pass
2026,2748.616,273.16299999999995,219.428,291.10699999999997,139.154,245.17300000000003,7.8,255.11499999999998,220.315,216.91400000000002,232.16000000000003,226.006,268.762,292.811,194.685,236.847,167.51999999999998,7.8,288.616,193.873,199.857,157.857,141.457,147.504,153.012,7.8,113.01199999999999,64.887,190.18200000000002,335.212,Pass
2027,1009.362,66.256,53.684,111.42,112.841,53.717,10.4,10.4,51.467,18.558999999999997,29.051000000000002,53.684,52.385,54.209,72.721,67.048,76.984,10.4,151.595,57.628,106.29099999999998,32.842,34.81699999999999,79.747,10.4,10.4,43.044,10.4,10.4,101.99,Pass
2028,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2029,1834.099,116.257,91.117,314.42799999999994,112.28800000000001,295.384,10.4,269.888,249.021,184.713,154.05599999999998,192.469,205.595,211.601,170.245,8.559,6.534,10.4,336.356,136.284,170.62300000000002,164.603,47.93899999999999,129.152,89.26899999999999,10.4,10.4,10.4,135.336,293.72499999999997,Pass
2030,67.551,67.099,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Dropout
2031,1621.18,175.978,190.279,253.025,119.37899999999999,126.16499999999999,10.4,151.809,157.168,209.64,149.404,400.40900000000005,269.18899999999996,100.52799999999999,113.812,113.47299999999998,75.923,10.4,159.016,95.16000000000001,48.296,26.467,23.442,46.757999999999996,114.45800000000001,10.4,120.821,75.175,136.58700000000002,333.085,Pass
2032,1378.2259999999999,112.74100000000001,110.29599999999999,221.29700000000003,104.869,181.595,10.4,165.273,111.49999999999999,47.884,53.717,51.134,146.41199999999998,105.17699999999999,102.93299999999999,530.044,373.63199999999995,10.4,317.033,86.053,126.47699999999999,82.42599999999999,78.13900000000001,80.83900000000001,95.814,10.4,59.461000000000006,38.959,129.11599999999999,118.69600000000001,Pass
2033,109.22999999999999,54.94200000000001,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Dropout
2034,1684.412,212.548,158.77100000000002,162.92000000000002,110.115,133.797,10.4,68.10499999999999,183.542,176.344,170.73399999999998,111.26100000000001,110.98100000000001,119.809,95.74000000000001,127.84400000000002,104.26599999999999,10.4,331.36800000000005,119.11599999999999,100.136,84.182,57.083,120.929,106.57199999999999,10.4,78.75,54.56699999999999,66.857,198.397,Pass
2035,908.4359999999999,125.252,128.416,86.05000000000001,105.384,10.4,10.4,-24.908,31.922,10.4,10.4,10.4,68.91900000000001,51.28000000000001,35.093,43.942,47.917,10.4,59.47200000000001,10.4,38.513,35.867,10.4,10.4,83.637,10.4,10.4,10.4,53.567,81.15899999999999,Pass
2036,541.7420000000001,179.30599999999998,224.929,100.967,106.60999999999999,116.515,10.4,95.558,37.283,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
