code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
2097,TBien,Moyen,TBien,Moyen,Moyen,TBien,Mediocre,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,Mediocre,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,Mediocre,TBien,TBien,TBien,TBien,Pass,app
2098,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,TBien,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,TBien,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Dropout,app
2099,Moyen,Mediocre,Mediocre,TBien,Moyen,Moyen,Moyen,TBien,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Moyen,TBien,Mediocre,Mediocre,Moyen,TBien,Moyen,TBien,Moyen,Mediocre,Moyen,TBien,Moyen,Mediocre,Mediocre,Moyen,TBien,Pass,app
2100,TBien,Moyen,Moyen,TBien,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Moyen,TBien,Mediocre,Moyen,Moyen,Moyen,TBien,TBien,TBien,Mediocre,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,TBien,Pass,app
2101,TBien,Mediocre,Moyen,TBien,Moyen,Moyen,Mediocre,TBien,TBien,Moyen,Mediocre,TBien,TBien,TBien,Moyen,Moyen,Mediocre,Mediocre,TBien,TBien,Moyen,TBien,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,TBien,Pass,app
2102,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Pass,app
2103,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2104,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Fail,test
2105,Moyen,Mediocre,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,TBien,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Fail,app
2106,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Fail,app
